"File","WordCount","ThinUnder200","HasGenericCitySentence","HasLetsTextBlock","FooterHash"
"service-areas/prairie-city-ia/index.html","1619","False","True","False","6d4eef2321336f4f6699cc2e9115de1d8deead028eac939ec8f09f1ef30507e0"
"service-areas/redfield-ia/index.html","1616","False","True","False","6d4eef2321336f4f6699cc2e9115de1d8deead028eac939ec8f09f1ef30507e0"
"service-areas/slater-ia/index.html","1616","False","True","False","6d4eef2321336f4f6699cc2e9115de1d8deead028eac939ec8f09f1ef30507e0"
"service-areas/story-city-ia/index.html","1619","False","True","False","6d4eef2321336f4f6699cc2e9115de1d8deead028eac939ec8f09f1ef30507e0"
"service-areas/stuart-ia/index.html","1616","False","True","False","6d4eef2321336f4f6699cc2e9115de1d8deead028eac939ec8f09f1ef30507e0"
"service-areas/sully-ia/index.html","1616","False","True","False","6d4eef2321336f4f6699cc2e9115de1d8deead028eac939ec8f09f1ef30507e0"
"service-areas/urbandale-ia/index.html","1616","False","True","False","6d4eef2321336f4f6699cc2e9115de1d8deead028eac939ec8f09f1ef30507e0"
"service-areas/van-meter-ia/index.html","1619","False","True","False","6d4eef2321336f4f6699cc2e9115de1d8deead028eac939ec8f09f1ef30507e0"
"service-areas/waukee-ia/index.html","1616","False","True","False","6d4eef2321336f4f6699cc2e9115de1d8deead028eac939ec8f09f1ef30507e0"
"service-areas/west-des-moines-ia/index.html","1622","False","True","False","6d4eef2321336f4f6699cc2e9115de1d8deead028eac939ec8f09f1ef30507e0"
"service-areas/winterset-ia/index.html","1616","False","True","False","6d4eef2321336f4f6699cc2e9115de1d8deead028eac939ec8f09f1ef30507e0"
